location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Intercom,Indoor Games,ATM,Maintenance Staff,Staff Quarter,Multipurpose Room,Car Parking,Hospital,School,Shopping Mall,Vaastu Compliant,Cafeteria,Rain Water Harvesting,Golf Course
Dhakoli,1044,3950000,INR,1,0,0,"It’s a 3 bhk builder floor situated in Dhakoli, Chandigarh. It has an area of 1044 sqft . The property is available at a price of Rs. 39.50 lac . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,900,2750000,INR,1,0,0,"A spacious 3 bhk builder floor is available for sale in Dhakoli, Chandigarh. It has an area of 900 sqft . The property is available at a price of Rs. 27.50 lac . The house is semi-furnished. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1100,3590000,INR,1,0,0,"A 3 bhk property is available for sale in Dhakoli, Chandigarh. It has a salable area of 1100 sqft and is available at a price of Rs. 3,263 per sqft. It is a semi-furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1100,3690000,INR,1,0,0,"It’s a 3 bhk builder floor situated in Dhakoli. It has a salable area of 1100 sqft and is available at a price of Rs. 3,354 per sqft. The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mohali Sec 125,550,1690000,INR,,1,1,"It has 1 wardrobe, 1 sofa, 1 dining table and 1 bed. It also has 1 modular kitchen. It is located on the 1st floor(out of a total of 2 floor(s)). The property is available on freehold. It is a ready-to-move-in property. The society is well connected by different modes of transportation. ",1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sec 125,910,1790000,INR,,1,1,"It’s a 2 bhk builder floor situated in Mohali Sec 125, Chandigarh. It has an area of 910 sqft with a carpet area of 882 sqft . The property is available at a price of Rs. 17.90 lac (negotiable ). The house is furnished. One of the major USPs of the property is that it is a road facing property. The property is available on freehold. The property has 2 bathrooms and 1 balcony. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. ",1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,
Mohali Sector 127,910,1990000,INR,,1,1,"It has a built-up area of 910 sqft and is priced at Rs. 19.90 lac (negotiable). It is a furnished property. It’s on 1st floor out of 3 floors building. It is north facing property. The property has 2 bathrooms and 1 balcony. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sec 125,915,1790000,INR,,1,1,"It has a built-up area of 915 sqft and is priced at Rs. 17.90 lac (negotiable). It is an unfurnished property. It has 1 wardrobe, 1 sofa, 1 dining table and 1 bed. It has 1 bathroom and 1 balcony. It is situated in the proximity of all the important facilities. ",1,north,0,1,0,1,1,0,0,1,0,0,0,1,,,,,,,,,,1.0,,,,,,,
Mohali Sec 125,910,3090000,INR,,1,1,"A spacious 2 bhk builder floor is available for sale in Mohali Sec 125, Chandigarh. It has a salable area of 910 sqft and is available at a price of Rs. 3,395 per sqft. It has 1 wardrobe, 1 refrigerator, 1 sofa and 1 dining table. It also has 1 bed. The property has 1 bathroom and 1 balcony. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1,north,1,1,0,1,1,0,0,1,0,0,0,1,,,,,,,,,,1.0,,,,,,,
Mohali Sec 125,610,1890000,INR,,1,1,"A spacious 1 bhk builder floor is available for sale in Mohali Sec 125, Chandigarh. It has a salable area of 610 sqft and is available at a price of Rs. 3,098 per sqft. It has 1 bathroom and 1 balcony. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,north,1,1,0,1,1,1,0,1,0,1,0,1,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0
Mohali Sector 127,599,1490000,INR,,1,1,"It has a salable area of 599 sqft and is available at a price of Rs. 2,487 per sqft. It is an unfurnished property. It has 1 sofa, 1 dining table, 1 wardrobe and 1 bed. It is on 1st floor. The building has a total of 3 floor(s). It is facing north direction. The property has 1 bathroom and 1 balcony. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. ",1,north,0,1,0,1,1,1,0,1,0,1,1,1,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0
Mohali Sector 127,550,1690000,INR,,1,1,"A spacious 1 bhk builder floor is available for sale in Mohali Sector 127, Chandigarh. The house is furnished. It’s on 1st floor out of 3 floors building. It is facing northeast direction. The property is available on freehold. The property has 1 bathroom and 1 balcony. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ",1,northeast,1,1,0,1,1,1,0,0,0,1,1,1,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,
Mohali Sec 125,588,1555000,INR,,1,1,"A spacious 1 bhk builder floor is available for sale in Mohali Sec 125, Chandigarh. It is on 1st floor. The building has a total of 2 floor(s). It has 1 bathroom and 1 balcony. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. ",1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,915,1990000,INR,,1,1,It has an area of 915 sqft with a carpet area of 855 sqft . The property is available at a price of Rs. 19.90 lac (negotiable ). The property provides an excellent view as it overlooks the road. The property is in a complex owned by a co-operative society. It is a ready-to-move-in property. It is made in way to provide a comfortable living. ,1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,951,1890000,INR,,1,1,"It has a built-up area of 951 sqft and is priced at Rs. 18.90 lac (negotiable). It has 1 wardrobe, 1 sofa, 1 dining table and 1 bed. It also has 1 modular kitchen. It is on the 1st floor of the building (total number of floors are 2). It is south facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,south,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,915,1890000,INR,,1,1,"It has a salable area of 915 sqft and is available at a price of Rs. 2,065 per sqft. It is a furnished property. Furnishings include 1 wardrobe, 1 sofa, 1 dining table, 1 bed and 1 modular kitchen. The property has 2 bathrooms and 2 balconies. The site is in close proximity to various civic utilities. ",1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,980,1750000,INR,,1,1,"It’s a 2 bhk builder floor situated in Mohali Sector 127. It has a built-up area of 980 sqft and is priced at Rs. 17.50 lac (negotiable). The house is furnished. It has 1 wardrobe, 1 sofa, 1 dining table and 1 bed. It also has 1 modular kitchen. It is located on the 1st floor(out of a total of 2 floor(s)). Its main door is facing north direction. The property is available on freehold. It has 1 bathroom and 1 balcony. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,north,1,1,0,1,1,1,0,0,0,0,1,1,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,915,1850000,INR,,1,1,"It’s a 2 bhk builder floor situated in Mohali Sector 127, Chandigarh. It has a salable area of 915 sqft and is available at a price of Rs. 2,021 per sqft. It is a furnished property. Furnishings include 1 wardrobe, 1 sofa, 1 dining table, 1 bed and 1 modular kitchen. It’s on 1st floor out of 2 floors building. It is a road facing property. The property is in a complex owned by a co-operative society. It has 1 bathroom and 1 balcony. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,510,1450000,INR,,1,1,"It’s a 1 bhk builder floor situated in Mohali Sector 127, Chandigarh. It has an area of 510 sqft with a carpet area of 400 sqft . The property is available at a price of Rs. 14.50 lac (negotiable ). It is an unfurnished property. It has 1 wardrobe, 1 sofa, 1 dining table and 1 bed. It also has 1 modular kitchen. It is located on the 2nd floor(out of a total of 3 floor(s)). Its main door is facing north direction. The property is available on freehold. The property has 1 bathroom and 1 balcony. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",1,north,0,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
SEC 115 MOHALI KHARAR LANDRAN ROAD,510,1490000,INR,,1,1,"It’s a 1 bhk builder floor situated in SEC 115 MOHALI KHARAR LANDRAN ROAD, Chandigarh. It has a built-up area of 510 sqft and is priced at Rs. 14.90 lac (negotiable). It has 1 wardrobe, 1 refrigerator, 1 dining table and 1 bed. It also has 1 modular kitchen. It’s on 1st floor out of 3 floors building. It is a corner property. The property has 1 bathroom and 1 balcony. It is well connected to the city areas. ",1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sec 125,510,1690000,INR,,1,1,"A 1 bhk property is available for sale in Mohali Sec 125, Chandigarh. It has a salable area of 510 sqft and is available at a price of Rs. 3,313 per sqft. It is a furnished property. It is on the 1st floor of the building (total number of floors are 2). It is north facing property. The property is available on freehold. It has 1 bathroom and 1 balcony. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. ",1,north,1,1,0,1,1,1,0,1,1,1,1,1,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,
SEC 115 MOHALI KHARAR LANDRAN ROAD,510,1590000,INR,,1,1,"It’s a 1 bhk builder floor situated in SEC 115 MOHALI KHARAR LANDRAN ROAD. It has an area of 510 sqft with a carpet area of 445 sqft . The property is available at a price of Rs. 15.90 lac (negotiable ). The house is furnished. It has 1 wardrobe, 1 sofa, 1 dining table and 1 bed. It also has 1 modular kitchen. It is on 1st floor. The building has a total of 2 floor(s). It is a garden facing property. The property is available on freehold. It has 1 bathroom and 1 balcony. It is a ready-to-move-in property. It is made in way to provide a comfortable living. Please contact for more details. ",1,north,1,1,0,1,1,1,0,1,0,1,0,1,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,555,1490000,INR,,1,1,"A spacious 1 bhk builder floor is available for sale in Mohali Sector 127, Chandigarh. It has a salable area of 555 sqft and is available at a price of Rs. 2,684 per sqft. The house is furnished. It has 1 wardrobe, 1 sofa, 1 dining table and 1 bed. It also has 1 modular kitchen. It’s on 2nd floor out of 3 floors building. Its main door is facing north direction. The property is available on freehold. It has 1 bathroom and 1 balcony. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,510,1490000,INR,,1,1,"It has a built-up area of 510 sqft and is priced at Rs. 14.90 lac (negotiable). It is a furnished property. Furnishings include 1 wardrobe, 1 sofa, 1 dining table, 1 bed and 1 modular kitchen. The property has 1 bathroom and 1 balcony. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,south,1,1,0,1,1,1,0,1,0,1,1,1,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,900,1890000,INR,,1,1,"It’s a 2 bhk builder floor situated in Mohali Sector 127. It has a built-up area of 900 sqft and is priced at Rs. 18.90 lac (negotiable). It is a furnished property. It has 1 wardrobe, 1 sofa, 1 dining table and 1 bed. It also has 1 modular kitchen. It is located on the 1st floor(out of a total of 3 floor(s)). It is a garden facing property. The property is available on freehold. It has 1 bathroom and 1 balcony. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,north,1,1,0,1,1,0,0,1,0,0,0,1,,,,,,,,,,1.0,,,,,,,
Mohali Sector 127,910,1790000,INR,,1,1,"It’s a 2 bhk builder floor situated in Mohali Sector 127, Chandigarh. It has a salable area of 910 sqft and is available at a price of Rs. 1,967 per sqft. The house is furnished. It has 1 wardrobe, 1 sofa, 1 dining table and 1 bed. It also has 1 modular kitchen. The property provides an excellent view as it overlooks the garden. The property has 1 bathroom and 1 balcony. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,north,1,1,0,1,1,1,0,1,0,1,0,1,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,1050,1970000,INR,,1,1,It has a built-up area of 1050 sqft and is priced at Rs. 19.70 lac (negotiable). It is an unfurnished property. The property has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. It is situated in the proximity of all the important facilities. ,1,,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mohali Sector 127,952,1790000,INR,,1,1,"It’s a 2 bhk builder floor situated in Mohali Sector 127, Chandigarh. It has a salable area of 952 sqft and is available at a price of Rs. 1,880 per sqft. The house is furnished. Furnishings include 2 wardrobe, 1 sofa, 1 dining table, 2 bed and 1 modular kitchen. It’s on 1st floor out of 3 floors building. The property provides an excellent view as it is a corner property. The property is available on freehold. The property has 1 bathroom and 1 balcony. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact us for more details. ",1,north,1,1,0,1,0,1,0,1,0,1,1,1,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,600,1880000,INR,,1,1,It’s a 1 bhk builder floor situated in Mohali Sector 127. It is on the ground floor of the building (total number of floors are 2). The property is available on freehold. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. ,1,north,1,1,0,1,1,1,0,1,0,0,1,1,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,
Mohali Sector 127,510,1480520,INR,,1,1,"It is a furnished property. Furnishings include 1 wardrobe, 1 dining table, 1 bed and 1 modular kitchen. It is on the 1st floor of the building (total number of floors are 2). The property is in a complex owned by a co-operative society. It has 1 bathroom and 1 balcony. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",1,north,1,1,0,1,0,1,0,1,0,1,0,1,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,510,1480000,INR,,1,1,"It’s a 1 bhk builder floor situated in Mohali Sector 127, Chandigarh. It has a built-up area of 510 sqft and is priced at Rs. 14.80 lac (negotiable). The house is furnished. It has 1 wardrobe, 1 dining table, 1 bed and 1 modular kitchen. It is located on the 1st floor(out of a total of 2 floor(s)). The property provides an excellent view as it overlooks the road. The property is available on freehold. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. ",1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sec 125,555,1690000,INR,,1,1,"It has a salable area of 555 sqft and is available at a price of Rs. 3,045 per sqft. It is a furnished property. Furnishings include 1 wardrobe, 1 dining table, 1 bed and 1 modular kitchen. It is on 1st floor. The building has a total of 3 floor(s). It is facing north direction. It has 1 bathroom and 1 balcony. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. If you are interested, please contact us for more details. ",1,north,1,1,0,1,1,1,0,1,0,0,1,1,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,
SEC 115 MOHALI KHARAR LANDRAN ROAD,510,1590000,INR,,1,1,"This spacious 1 bhk builder floor is available for sale and is located in the heart of SEC 115 MOHALI KHARAR LANDRAN ROAD. The house is furnished. It has 1 wardrobe, 1 dining table, 1 bed and 1 modular kitchen. It is on the 1st floor of the building (total number of floors are 3). It is facing north direction. The property has 1 bathroom and 1 balcony. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,1100,1980000,INR,,1,1,"This spacious 2 bhk builder floor is available for sale and is located in the heart of Mohali Sector 127. It has a built-up area of 1100 sqft and is priced at Rs. 19.80 lac (negotiable). The house is furnished. Furnishings include 1 wardrobe, 1 dining table, 1 bed and 1 modular kitchen. It is facing north direction. The property is available on freehold. The property has 2 bathrooms and 2 balconies. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact for more details. ",1,north,1,1,0,1,1,1,0,1,0,0,1,1,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,1050,1990000,INR,,1,1,"It has an area of 1050 sqft with a carpet area of 998 sqft . The property is available at a price of Rs. 19.90 lac (negotiable ). It has 1 wardrobe, 1 dining table, 1 bed and 1 modular kitchen. It is facing south direction. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. Kindly call us for details. ",1,south,0,1,0,1,1,0,0,1,0,0,0,1,,,,,,,,,,1.0,,,,,,,
Mohali Sector 127,910,1990000,INR,,1,1,"It has an area of 910 sqft with a carpet area of 889 sqft . The property is available at a price of Rs. 19.90 lac (negotiable ). The house is furnished. Furnishings include 1 wardrobe, 1 sofa, 1 dining table, 1 bed and 1 modular kitchen. It is on 1st floor. The building has a total of 2 floor(s). The property has 1 bathroom and 1 balcony. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,915,1790000,INR,,1,1,"It’s a 2 bhk builder floor situated in Mohali Sector 127. It has an area of 915 sqft with a carpet area of 888 sqft . The property is available at a price of Rs. 17.90 lac (negotiable ). Furnishings include 1 wardrobe, 1 sofa, 1 dining table, 1 bed and 1 modular kitchen. It is on the 1st floor of the building (total number of floors are 3). Its main door is facing north direction. It has 1 bathroom and 1 balcony. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,550,1490000,INR,,1,1,"It has a salable area of 550 sqft and is available at a price of Rs. 2,709 per sqft. It is a semi-furnished property. It’s on 1st floor out of 3 floors building. The property is available on freehold. The property has 1 bathroom and 1 balcony. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ",1,south,0,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,600,1490000,INR,,1,1,"This spacious 1 bhk builder floor is available for sale and is located in the heart of Mohali Sector 127. It has 1 wardrobe, 1 sofa, 1 dining table and 1 bed. It also has 1 modular kitchen. The property is available on freehold. It has 1 bathroom and 1 balcony. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,north,1,1,0,1,1,1,0,1,0,0,1,1,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
SEC 115 MOHALI KHARAR LANDRAN ROAD,623,1490000,INR,,1,1,"* ready to move in in
* 2.67 Subsidy Benefit
* Gated Society
* Fully Furnished
* CCTV Camera Protection
#Facilities Available Are:-
* We Are Providing an Friendly Environment that's perfectly suited to the modern Lifestyle
* Modular Kitchen+ RO+ Chimney
* 1000+ families Living Here
* Boundary wall
* Double Bed
* Led Panels Led Lights
* Wall Ceiling+ Cupboards
* Adjoining Facilities Nearby Malls, Schools, College, Hospital, Restaurants.
* Safe Zone for Kids

Contact For Further Information",1,north,1,1,0,1,1,1,0,1,0,0,1,1,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sec 125,910,1990000,INR,,1,1,"A 2 bhk property is available for sale in Mohali Sec 125, Chandigarh. It is on the 1st floor of the building (total number of floors are 2). The property provides an excellent view as it overlooks the garden. It has 2 bathrooms and 2 balconies. It is well connected to the city areas. ",1,north,1,1,0,1,1,0,0,1,0,0,0,1,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,
Mohali Sector 127,910,1990000,INR,,1,1,"It has a built-up area of 910 sqft and is priced at Rs. 19.90 lac (negotiable). It is a furnished property. It’s on 1st floor out of 3 floors building. It is north facing property. The property has 2 bathrooms and 1 balcony. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sec 125,915,1790000,INR,,1,1,"It has a built-up area of 915 sqft and is priced at Rs. 17.90 lac (negotiable). It is an unfurnished property. It has 1 wardrobe, 1 sofa, 1 dining table and 1 bed. It has 1 bathroom and 1 balcony. It is situated in the proximity of all the important facilities. ",1,north,0,1,0,1,1,0,0,1,0,0,0,1,,,,,,,,,,1.0,,,,,,,
Mohali Sec 125,910,3090000,INR,,1,1,"A spacious 2 bhk builder floor is available for sale in Mohali Sec 125, Chandigarh. It has a salable area of 910 sqft and is available at a price of Rs. 3,395 per sqft. It has 1 wardrobe, 1 refrigerator, 1 sofa and 1 dining table. It also has 1 bed. The property has 1 bathroom and 1 balcony. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1,north,1,1,0,1,1,0,0,1,0,0,0,1,,,,,,,,,,1.0,,,,,,,
Mohali Sec 125,610,1890000,INR,,1,1,"A spacious 1 bhk builder floor is available for sale in Mohali Sec 125, Chandigarh. It has a salable area of 610 sqft and is available at a price of Rs. 3,098 per sqft. It has 1 bathroom and 1 balcony. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,north,1,1,0,1,1,1,0,1,0,1,0,1,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0
Mohali Sector 127,599,1490000,INR,,1,1,"It has a salable area of 599 sqft and is available at a price of Rs. 2,487 per sqft. It is an unfurnished property. It has 1 sofa, 1 dining table, 1 wardrobe and 1 bed. It is on 1st floor. The building has a total of 3 floor(s). It is facing north direction. The property has 1 bathroom and 1 balcony. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. ",1,north,0,1,0,1,1,1,0,1,0,1,1,1,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0
Mohali Sector 127,550,1690000,INR,,1,1,"A spacious 1 bhk builder floor is available for sale in Mohali Sector 127, Chandigarh. The house is furnished. It’s on 1st floor out of 3 floors building. It is facing northeast direction. The property is available on freehold. The property has 1 bathroom and 1 balcony. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ",1,northeast,1,1,0,1,1,1,0,0,0,1,1,1,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,
Mohali Sec 125,588,1555000,INR,,1,1,"A spacious 1 bhk builder floor is available for sale in Mohali Sec 125, Chandigarh. It is on 1st floor. The building has a total of 2 floor(s). It has 1 bathroom and 1 balcony. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. ",1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,915,1990000,INR,,1,1,It has an area of 915 sqft with a carpet area of 855 sqft . The property is available at a price of Rs. 19.90 lac (negotiable ). The property provides an excellent view as it overlooks the road. The property is in a complex owned by a co-operative society. It is a ready-to-move-in property. It is made in way to provide a comfortable living. ,1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,951,1890000,INR,,1,1,"It has a built-up area of 951 sqft and is priced at Rs. 18.90 lac (negotiable). It has 1 wardrobe, 1 sofa, 1 dining table and 1 bed. It also has 1 modular kitchen. It is on the 1st floor of the building (total number of floors are 2). It is south facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,south,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,915,1890000,INR,,1,1,"It has a salable area of 915 sqft and is available at a price of Rs. 2,065 per sqft. It is a furnished property. Furnishings include 1 wardrobe, 1 sofa, 1 dining table, 1 bed and 1 modular kitchen. The property has 2 bathrooms and 2 balconies. The site is in close proximity to various civic utilities. ",1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,980,1750000,INR,,1,1,"It’s a 2 bhk builder floor situated in Mohali Sector 127. It has a built-up area of 980 sqft and is priced at Rs. 17.50 lac (negotiable). The house is furnished. It has 1 wardrobe, 1 sofa, 1 dining table and 1 bed. It also has 1 modular kitchen. It is located on the 1st floor(out of a total of 2 floor(s)). Its main door is facing north direction. The property is available on freehold. It has 1 bathroom and 1 balcony. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,north,1,1,0,1,1,1,0,0,0,0,1,1,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
Mohali Sector 127,915,1850000,INR,,1,1,"It’s a 2 bhk builder floor situated in Mohali Sector 127, Chandigarh. It has a salable area of 915 sqft and is available at a price of Rs. 2,021 per sqft. It is a furnished property. Furnishings include 1 wardrobe, 1 sofa, 1 dining table, 1 bed and 1 modular kitchen. It’s on 1st floor out of 2 floors building. It is a road facing property. The property is in a complex owned by a co-operative society. It has 1 bathroom and 1 balcony. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,north,1,1,0,1,1,1,0,1,0,1,1,1,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,
